ID,GLAZ,SHUTTER,HOU_SIZE,HEA,MOU_HEA,DUR_HEA_MIN,hou_type,turn
1,1,2,80,1,"12,1",60,2,????
2,1,2,80,1,,60,2,????
3,1,2,90,1,"11,12,1,2",20,2,????
4,,1,107,1,"12,1,2",30,2,????
5,,,,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
6,1,2,120,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,
7,2,1,,1,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
8,2,1,,1,"10,11,12,1,2",150,2,
9,1,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12",120,2,
10,1,,,1,"12,1,2,3,4,5",1440,1,"????, ????"
11,1,1,,1,"11,12,1,2,3",120,1,"????, ????"
12,1,1,,1,"11,12,1,2",90,2,"????, ????"
13,1,1,150,1,"10,11,12,1",60,1,
14,2,1,130,0,"1,2,3,4,5,6,7,8,9,10,11,12",180,2,"????, ????"
15,1,1,119,0,,260,2,????
16,1,1,117,1,"11,12,1,2,3",120,2,????
17,1,1,176,1,"10,11,12,1,2,3",60,1,????
18,1,1,140,1,"11,12,1,2,3",30,1,"????, ????"
19,2,1,180,1,"12,1,2",30,1,"????, ????"
20,1,2,170,1,"11,12,1,2,3,4",180,1,????
21,1,,,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,1,????
22,1,1,,0,"12,1",60,2,????
23,1,1,,1,"12,1,2",30,1,????
24,2,2,100,1,"12,1,2",45,2,????
25,2,1,150,1,"11,12,1,2",150,1,????
26,2,1,,1,"12,1,2,3",120,1,????
27,2,1,170,1,"11,12,1,2",270,1,????
30,1,,,1,"12,1,2",15,1,????
31,1,1,85,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
32,1,1,110,0,"12,1,2,3",150,2,????
33,1,1,100,0,"11,12,1,2,3,4",40,2,????
34,1,1,120,0,"1,2,3,4,5,6,7,8,9,10,11,12",240,2,????
35,1,1,105,0,"1,2,3,4,5,6,7,8,9,10,11,12",25,2,"????, ????"
36,1,1,85,1,"10,11,12,1,2,3",150,2,"????, ???? ????"
37,1,1,110,0,"11,12,1,2,3",10,2,????
38,1,1,90,1,"12,1,2,3",120,2,"????, ????"
39,1,1,120,1,"12,1,2,3",60,2,"????, ????"
40,1,1,105,1,"12,1",90,2,"????, ????"
41,1,2,105,1,"12,1,2,3",90,2,"????, ????"
42,1,2,200,1,"12,1,2,3",240,1,"????, ????"
43,1,,110,,,,2,????
44,1,1,110,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
45,1,1,110,0,"1,2,3,4,5,6,7,8,9,10,11,12",180,2,"????, ????"
46,1,1,96,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
47,1,1,140,1,"1,2,3,4,5,6,7,8,9,10,11,12",20,2,
48,1,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12",30,2,????
49,,1,170,1,"11,12,1,2,3",60,1,????
51,2,1,,1,"19,10,11,12",60,1,????
52,1,1,100,0,"1,2,3,4,5,6,7,8,9,10,11,12",,2,????
53,1,1,,0,"1,2,3,4,5,6,7,8,9,10,11,12",90,2,????
54,1,,125,0,"1,2,3,4,5,6,7,8,9,10,11,12",210,2,"????, ????"
55,1,2,,,,,2,"????, ????"
56,1,1,100,0,"10,11,12,1,2,3,4",180,2,????
58,1,1,111,1,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
59,1,,111,1,"1,2,3,4,5,6,7,8,9,10,11,12",180,2,????
60,1,1,90,0,"1,2,3,4,5,6,7,8,9,10,11,12",120,2,"????, ????"
61,1,1,120,1,"12,1,2",45,1,????
62,2,1,160,0,"1,2,3,4,5,6,7,8,9,10,11,12",10,2,"????, ????"
64,1,1,90,0,"1,2,3,4,5,6,7,8,9,10,11,12",45,2,???? ????
65,1,1,,1,"1,2,3,4,5,6,7,8,9,10,11,12",30,2,???? ????
66,1,1,110,1,"12,1,2",90,2,????
67,1,2,88,1,"12,1,2",30,2,"????, ????"
68,1,2,106,1,"12,1,2",60,2,"????, ????"
69,1,1,110,0,"1,2,3,4,5,6,7,8,9,10,11,12",30,2,"????, ????"
70,1,1,105,1,"12,1,2",120,2,"????, ????"
71,1,1,100,1,"11,12,1,2",90,2,????
72,1,1,100,1,"10,11,12,1,2",120,2,????
73,1,1,100,1,,,2,????
74,2,2,170,1,"12,1,2,3",30,2,"????, ????"
75,1,,200,1,,10,2,????
76,1,1,100,1,"11,12,1,2,3",30,2,????
77,1,1,110,1,"1,2",45,2,
78,2,1,125,1,"12,1",120,2,????
79,1,1,100,0,"1,2,3,4,5,6,7,8,9,10,11,12",45,2,???? ????
80,1,1,120,1,"11,12,1,2,3",180,2,"????, ???? ????"
81,1,1,105,1,"10,11,12,1,2,3",90,2,????
82,1,1,100,0,"1,2,3,4,5,6,7,8,9,10,11,12",75,2,????
83,1,1,110,1,"9,10,11,12,1,2,3",300,2,????
84,2,,,1,"12,1,2",60,1,????
85,2,1,170,1,"12,1",60,1,????
86,1,1,100,,,,2,????
87,1,1,110,0,"1,2,3,4,5,6,7,8,9,10,11,12",45,2,????
88,1,1,100,1,"12,1,2",60,2,????
89,1,1,100,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
90,1,1,140,0,"1,2,3,4,5,6,7,8,9,10,11,12",120,2,???? ????
91,,,160,0,,120,2,???? ????
28,2,1,180,1,"11,12,1,2,3",24,1,"????, ???? ????"
29,1,1,180,1,"1,2,3,4,5,6,7,8,9,10,11,12",1440,1,"????, ????"
50,1,1,107,0,"1,2,3,4,5,6,7,8,9,10,11,12",30,2,????
57,2,1,170,,,,1,"????, ????"
63,1,1,80,0,"1,2,3,4,5,6,7,8,9,10,11,12",40,2,
92,2,,,1,"12,1,2",60,1,????
93,2,1,170,1,"12,1",,1,????
94,1,1,100,0,"1,2,3,4,5,6,7,8,9,10,11,12",60,2,????
95,,,160,0,"1,2,3,4,5,6,7,8,9,10,11,12",120,2,???? ????
96,1,1,140,0,"1,2,3,4,5,6,7,8,9,10,11,12",120,2,???? ????
97,1,1,100,,,,2,????
98,1,1,110,0,"1,2,3,4,5,6,7,8,9,10,11,12",100,2,????
99,1,1,100,,,,2,????
